,Id,SalePrice
0,0,53135.97
1,1,66555.21
2,2,254131.94
3,3,165521.05
4,4,212028.14
5,5,128970.68
6,6,202501.08
7,7,89832.61
8,8,226964.09
9,9,88276.14
10,10,109033.55
11,11,111021.38
12,12,156197.02
13,13,110181.13
14,14,135440.97
15,15,221766.15
16,16,225261.99
17,17,225289.58
18,18,189751.02
19,19,213672.91
20,20,147881.02
21,21,203161.51
22,22,102919.64
23,23,211996.32
24,24,305853.41
25,25,114980.74
26,26,163488.54
27,27,293628.77
28,28,118233.25
29,29,138829.3
30,30,129522.19
31,31,263793.83
32,32,300584.38
33,33,248085.19
34,34,93370.36
35,35,64784.8
36,36,296113.03
37,37,262402.21
38,38,97631.68
39,39,65486.53
40,40,178486.52
41,41,181725.89
42,42,200585.05
43,43,268113.18
44,44,314425.16
45,45,102590.62
46,46,345282.71
47,47,140317.57
48,48,167082.36
49,49,78806.48
50,50,189663.25
51,51,200012.89
52,52,204381.84
53,53,165240.22
54,54,268386.21
55,55,190474.2
56,56,223070.19
57,57,223322.29
58,58,308797.39
59,59,188718.27
60,60,217242.17
61,61,82016.54
62,62,156501.9
63,63,156987.4
64,64,150277.98
65,65,254375.8
66,66,172454.2
67,67,187279.35
68,68,246553.0
69,69,119967.08
70,70,113885.4
71,71,159868.59
72,72,117381.22
73,73,170986.45
74,74,202846.75
75,75,190101.41
76,76,166573.42
77,77,119021.5
78,78,166063.21
79,79,124229.55
80,80,177237.65
81,81,116423.53
82,82,213544.13
83,83,175177.32
84,84,188337.48
85,85,162372.2
86,86,92574.46
87,87,262588.1
88,88,197046.8
89,89,228145.55
90,90,57455.93
91,91,179735.83
92,92,178201.63
93,93,153927.36
94,94,110283.36
95,95,179393.86
96,96,129347.24
97,97,185791.75
98,98,89424.77
99,99,215981.97
100,100,-2487.54
101,101,107681.56
102,102,131549.2
103,103,154781.74
104,104,124839.47
105,105,314403.46
106,106,210563.29
107,107,227269.41
108,108,187628.22
109,109,288256.53
110,110,190394.66
111,111,229412.63
112,112,98174.71
113,113,125094.23
114,114,108016.76
115,115,285115.45
116,116,215750.56
117,117,130949.27
118,118,136571.09
119,119,111979.52
120,120,115598.64
121,121,229526.21
122,122,73251.18
123,123,82224.89
124,124,191194.51
125,125,98228.03
126,126,230888.89
127,127,256433.87
128,128,218299.04
129,129,139019.4
130,130,167928.7
131,131,103111.97
132,132,152709.37
133,133,249486.8
134,134,181319.53
135,135,113344.16
136,136,128719.35
137,137,83597.86
138,138,221943.58
139,139,130476.15
140,140,119509.76
141,141,185156.6
142,142,334517.22
143,143,90870.88
144,144,68019.74
145,145,122231.31
146,146,194185.37
147,147,161343.34
148,148,132148.14
149,149,175106.02
150,150,112979.85
151,151,165607.48
152,152,197281.59
153,153,130570.77
154,154,226466.92
155,155,182505.81
156,156,159375.17
157,157,224000.9
158,158,246763.81
159,159,195671.57
160,160,165089.58
161,161,211047.18
162,162,126249.3
163,163,136640.24
164,164,170966.61
165,165,214452.52
166,166,253306.74
167,167,197066.51
168,168,210131.65
169,169,444944.26
170,170,158006.92
171,171,163482.91
172,172,172370.9
173,173,203719.71
174,174,193148.75
175,175,310630.98
176,176,126622.05
177,177,138216.0
178,178,111061.83
179,179,85878.2
180,180,252569.07
181,181,271203.07
182,182,464872.34
183,183,139342.12
184,184,202432.48
185,185,105419.3
186,186,103440.79
187,187,266999.05
188,188,201141.49
189,189,212429.42
190,190,206015.94
191,191,215091.72
192,192,117251.13
193,193,190146.23
194,194,155233.89
195,195,169231.27
196,196,229466.08
197,197,157043.04
198,198,193409.74
199,199,137994.01
200,200,76363.63
201,201,202571.28
202,202,122768.73
203,203,222498.24
204,204,138474.98
205,205,273450.98
206,206,104789.78
207,207,209194.14
208,208,140804.02
209,209,284576.02
210,210,210879.13
211,211,237579.14
212,212,56792.58
213,213,101495.96
214,214,118622.7
215,215,100463.29
216,216,167445.47
217,217,234528.63
218,218,40094.29
219,219,125376.57
220,220,99965.16
221,221,123311.99
222,222,167801.68
223,223,188192.79
224,224,211639.91
225,225,136235.78
226,226,217936.34
227,227,145503.06
228,228,326373.04
229,229,136026.47
230,230,219747.32
231,231,140481.02
232,232,90707.33
233,233,144628.19
234,234,116175.91
235,235,126108.38
236,236,190738.16
237,237,216795.45
238,238,161810.39
239,239,238234.03
240,240,218026.92
241,241,229233.32
242,242,198949.99
243,243,351324.16
244,244,191258.76
245,245,197161.17
246,246,189225.63
247,247,173187.01
248,248,174299.99
249,249,101423.65
250,250,254522.9
251,251,210929.05
252,252,104020.62
253,253,246084.15
254,254,208353.6
255,255,140324.71
256,256,300891.76
257,257,67715.16
258,258,197685.07
259,259,153881.93
260,260,182781.56
261,261,108297.06
262,262,144752.7
263,263,160344.11
264,264,175490.94
265,265,191982.8
266,266,171824.31
267,267,302683.37
268,268,343264.95
269,269,131364.38
270,270,223480.57
271,271,170089.54
272,272,115392.79
273,273,175246.84
274,274,139827.56
275,275,164970.52
276,276,175185.48
277,277,207154.31
278,278,259504.86
279,279,84208.95
280,280,220502.45
281,281,209376.26
282,282,138682.6
283,283,148353.67
284,284,202489.67
285,285,130772.08
286,286,189677.71
287,287,185679.33
288,288,255640.28
289,289,283154.08
290,290,157341.28
291,291,122714.34
292,292,157863.48
293,293,193429.55
294,294,114520.58
295,295,138805.44
296,296,143414.22
297,297,159768.2
298,298,680456.78
299,299,138418.36
300,300,239917.96
301,301,151799.26
302,302,306611.22
303,303,235560.89
304,304,199519.34
305,305,317925.08
306,306,206330.84
307,307,140747.29
308,308,134565.93
309,309,189178.87
310,310,259698.79
311,311,215468.32
312,312,309040.57
313,313,330601.59
314,314,92871.45
315,315,215600.49
316,316,265451.36
317,317,199288.83
318,318,268170.07
319,319,84013.68
320,320,178370.47
321,321,28905.81
322,322,230916.1
323,323,49432.37
324,324,273051.13
325,325,44574.75
326,326,55199.37
327,327,125783.41
328,328,229055.86
329,329,201173.36
330,330,264772.85
331,331,124944.45
332,332,80782.75
333,333,118085.06
334,334,147123.29
335,335,188805.22
336,336,176805.25
337,337,46646.47
338,338,223441.48
339,339,105494.45
340,340,110168.02
341,341,175386.55
342,342,260767.21
343,343,166827.03
344,344,195340.34
345,345,72550.89
346,346,242453.08
347,347,262539.36
348,348,240417.6
349,349,190389.46
350,350,237380.28
351,351,182449.12
352,352,147857.35
353,353,355433.29
354,354,238772.63
355,355,208204.14
356,356,101952.45
357,357,155101.07
358,358,178114.51
359,359,326264.15
360,360,183232.31
361,361,242159.39
362,362,126658.93
363,363,169374.64
364,364,164842.41
365,365,204025.33
366,366,214589.89
367,367,140848.74
368,368,162151.41
369,369,250980.68
370,370,90120.78
371,371,187321.93
372,372,250296.76
373,373,405934.66
374,374,242887.69
375,375,252790.94
376,376,99413.72
377,377,139178.74
378,378,129204.78
379,379,144723.86
380,380,42593.32
381,381,221039.36
382,382,170718.8
383,383,141766.81
384,384,116326.32
385,385,104702.77
386,386,277352.63
387,387,184391.98
388,388,315276.54
389,389,143774.31
390,390,237933.67
391,391,164278.83
392,392,124759.51
393,393,178134.01
394,394,242653.17
395,395,286722.86
396,396,159574.48
397,397,128199.09
398,398,146972.6
399,399,161745.68
400,400,117520.18
401,401,198343.46
402,402,203310.67
403,403,254994.22
404,404,88153.96
405,405,264600.51
406,406,128080.04
407,407,99055.4
408,408,89760.6
409,409,228481.49
410,410,213889.53
411,411,159448.32
412,412,74989.54
413,413,283771.11
414,414,177995.16
415,415,248710.54
416,416,134286.92
417,417,307992.78
418,418,110921.28
419,419,220644.29
420,420,176537.09
421,421,151410.99
422,422,158254.9
423,423,210472.36
424,424,151385.87
425,425,154230.69
426,426,264710.01
427,427,131939.95
428,428,123778.4
429,429,194790.01
430,430,171706.44
431,431,149774.46
432,432,80705.65
433,433,200066.51
434,434,158642.55
435,435,191620.83
436,436,99453.4
437,437,305186.92
438,438,168907.36
439,439,198324.59
440,440,218782.49
441,441,168327.12
442,442,320324.41
443,443,108699.89
444,444,207074.12
445,445,119208.08
446,446,135872.49
447,447,275179.44
448,448,99967.53
449,449,72726.07
450,450,124671.59
451,451,254384.12
452,452,142136.64
453,453,120538.42
454,454,190763.86
455,455,182366.87
456,456,243792.02
457,457,227410.52
458,458,124907.32
459,459,155547.58
